"(230, 190, 171, 255)","(227, 121, 166, 255)"
"(229, 199, 179, 255)","(214, 151, 147, 255)"
"(216, 168, 158, 255)","(202, 109, 127, 255)"
"(223, 200, 203, 255)","(203, 163, 181, 255)"
"(234, 192, 178, 255)","(231, 157, 150, 255)"
"(216, 190, 179, 255)","(206, 135, 164, 255)"
"(212, 141, 107, 255)","(185, 96, 87, 255)"
"(209, 174, 166, 255)","(174, 87, 91, 255)"
"(237, 209, 212, 255)","(223, 156, 168, 255)"
"(246, 208, 215, 255)","(244, 209, 210, 255)"
"(241, 199, 186, 255)","(247, 147, 162, 255)"
"(216, 176, 177, 255)","(217, 144, 167, 255)"
"(211, 132, 92, 255)","(172, 75, 67, 255)"
"(203, 172, 159, 255)","(207, 143, 159, 255)"
"(216, 181, 155, 255)","(218, 144, 139, 255)"
"(206, 168, 140, 255)","(218, 138, 163, 255)"
"(233, 212, 212, 255)","(221, 137, 155, 255)"
"(209, 180, 158, 255)","(207, 129, 151, 255)"
"(211, 168, 147, 255)","(188, 115, 111, 255)"
"(216, 183, 172, 255)","(207, 160, 167, 255)"
"(217, 174, 152, 255)","(194, 139, 127, 255)"
"(181, 132, 87, 255)","(174, 87, 65, 255)"
"(182, 145, 132, 255)","(167, 84, 88, 255)"
"(229, 195, 189, 255)","(226, 125, 160, 255)"
"(197, 167, 154, 255)","(194, 105, 112, 255)"
"(171, 129, 113, 255)","(150, 91, 94, 255)"
"(215, 186, 179, 255)","(202, 131, 160, 255)"
"(209, 179, 184, 255)","(185, 104, 124, 255)"
"(219, 161, 134, 255)","(213, 123, 119, 255)"
"(225, 190, 182, 255)","(203, 125, 130, 255)"
"(213, 172, 157, 255)","(194, 106, 126, 255)"
"(181, 139, 108, 255)","(168, 106, 101, 255)"
"(233, 193, 164, 255)","(225, 124, 121, 255)"
"(190, 158, 146, 255)","(221, 151, 185, 255)"
"(184, 134, 106, 255)","(187, 94, 86, 255)"
"(216, 167, 136, 255)","(199, 118, 98, 255)"
"(224, 201, 195, 255)","(220, 159, 176, 255)"
"(225, 179, 155, 255)","(230, 140, 163, 255)"
